Franchise,Player Name,Bid Amount,Role, Points,Points
Mumbai Indians,Jasprit Bumrah,2000,Bowler/pace bowler,,92
Rajasthan Royals,Nuwan Thushara,320,Bowler/pace bowler,,82
Kolkata Knight Riders,Mark Wood,320,Bowler/pace bowler,,81
Royal Challengers Bangalore,Harshal Patel,750,Bowler/pace bowler,,83
Delhi Capitals,Arjun Tendulkar,180,Bowler/pace bowler,,73
Rajasthan Royals,Hazelwood,1050,Bowler/pace bowler,,86
Royal Challengers Bangalore,Coetzee,600,Bowler/pace bowler,,83
Kolkata Knight Riders,Shivam Mavi,200,Bowler/pace bowler,,78
Rajasthan Royals,Arshdeep Singh,850,Bowler/pace bowler,,85
Gujarat Titans,Vaibhav Arora,420,Bowler/pace bowler,,81
Delhi Capitals,Umesh Yadav,100,Bowler/pace bowler,,79
Royal Challengers Bangalore,Mohit Sharma,420,Bowler/pace bowler,,82
Mumbai Indians,Yash Dayal,140,Bowler/pace bowler,,79
Chennai Super Kings,Mohammed Shami,1150,Bowler/pace bowler,,87
Royal Challengers Bangalore,Richard Gleeson,140,Bowler/pace bowler,,78
Sunrisers Hyderabad,Lockie Ferguson,460,Bowler/pace bowler,,82
Kolkata Knight Riders,Mitchell Starc,1500,Bowler/pace bowler,,88
Delhi Capitals,Avesh Khan,550,Bowler/pace bowler,,83
Delhi Capitals,Pat Cummins,1650,Bowler/pace bowler,,88
Royal Challengers Bangalore,Jofra Archer,650,Bowler/pace bowler,,84
Punjab Kings,T Natarajan,650,Bowler/pace bowler,,84
Chennai Super Kings,Shardul Thakur,280,Bowler/pace bowler,,80
Gujarat Titans,Piyush Chawla,220,Bowler/Spinner,,80
Punjab Kings,Noor Ahmed,550,Bowler/Spinner,,84
Mumbai Indians,Theekshana,200,Bowler/Spinner,,81
Sunrisers Hyderabad,Ravi Bishnoi,280,Bowler/Spinner,,82
Rajasthan Royals,Kuldeep Yadav,950,Bowler/Spinner,,85
Mumbai Indians,Washington Sundar,500,All rounder/spinner,,83
Rajasthan Royals,Marcus Stoinis,500,All rounder/middle order,,84
Mumbai Indians,Kyle Mayers,340,All rounder/Opener,,82
Punjab Kings,Ramandeep Singh,420,All rounder/Finisher/Pace Bowler,,82
Gujarat Titans,Hardik Pandya,2000,All rounder/Finisher/Pace Bowler,,91
Royal Challengers Bangalore,Rashid Khan,1900,All rounder/Spinner/Finisher,,90
Kolkata Knight Riders,Sunil Narine,1450,All rounder/Opener/spinner,,88
Kolkata Knight Riders,Omarzai,200,All rounder/pace bowler,,81
Kolkata Knight Riders,Raguvanshi,380,Batter/Middle Order,,80
Kolkata Knight Riders,Jos Buttler,650,Wicketkeeper/Opener,,87
Mumbai Indians,Cameron Green,420,All rounder/middle order,,83
Mumbai Indians,Rohit Sharma,1300,Batter/Opener,,88
Mumbai Indians,Dhruv Jurel,200,Wicketkeeper/Finisher,,82
Gujarat Titans,Sanju Samson,1000,Wicketkeeper/Opener,,88
Gujarat Titans,Shabhaz Ahmed,200,All rounder/spinner,,80
Gujarat Titans,Faf du Plessis,1200,Batter/Opener,,88
Gujarat Titans,Sarfaraz Khan,100,Batter/Finisher,,78
Delhi Capitals,Ben Stokes,1350,All rounder/Finisher/Pace Bowler,,87
Delhi Capitals,Vijay Shankar,220,All rounder/middle order,,81
Delhi Capitals,Jonny Bairstow,440,Batter/Opener,,84
Mumbai Indians,Hope,100,Batter/Middle Order,,78
Mumbai Indians,Rizwi,120,Batter/Middle Order,,78
Unsold,Rahmanullah Gurbaz,1,Wicketkeeper/Opener,,81
Unsold,Chris Jordan,100,Bowler/pace bowler,,77
Unsold,Navdeep Saini,100,Bowler/pace bowler,,77
Delhi Capitals,Anrich Nortje,550,Bowler/pace bowler,,84
Gujarat Titans,Deepak Chahar,360,Bowler/pace bowler,,83
Chennai Super Kings,Sandeep Sharma,300,Bowler/pace bowler,,82
Mumbai Indians,Nehal Wadheera,100,Batter/Finisher,,79
Mumbai Indians,Nandre Burger,240,Bowler/pace bowler,,82
Delhi Capitals,Nitish Kumar Reddy,420,All rounder/middle order/pace bowler,,84
Kolkata Knight Riders,Quinton de Kock,550,Wicketkeeper/Opener,,86
Chennai Super Kings,Rajat Patidar,400,Batter/Middle Order,,82
Chennai Super Kings,Travis Head,1050,Batter/Opener,,88
Kolkata Knight Riders,David Miller,200,Batter/Finisher,,83
Punjab Kings,Jansen,500,All rounder/pace bowler,,83
Punjab Kings,Rahul Tripathi,220,Batter/Opener,,82
Punjab Kings,Markaram,340,Batter/Middle Order,,83
Punjab Kings,Manish Pandey,200,Batter/Middle Order,,80
Chennai Super Kings,Glen Maxwell,1300,All rounder/middle order/spinner,,87
Chennai Super Kings,Ravindra Jadeja,1300,All rounder/Finisher/Spinner,,87
Rajasthan Royals,Liam Livingstone,700,All rounder/middle order,,84
Rajasthan Royals,Venkatesh Iyer,550,All rounder/Opener,,84
Royal Challengers Bangalore,Devan Conway,800,Batter/Opener,,85
Royal Challengers Bangalore,Devdutt Padikkal,160,Batter/Opener,,79
Royal Challengers Bangalore,DK,650,Wicketkeeper/Finisher,,84
Royal Challengers Bangalore,Sikandar Raza,200,All rounder/Spinner,,81
Sunrisers Hyderabad,Kane Williamson,360,Batter/Middle Order,,82
Punjab Kings,Trent Boult,800,Bowler/pace bowler,,87
Sunrisers Hyderabad,Bhuvneshwar Kumar,950,Bowler/pace bowler,,87
Chennai Super Kings,Pathirana,750,Bowler/pace bowler,,86
Mumbai Indians,Kagiso Rabada,750,Bowler/pace bowler,,85
Kolkata Knight Riders,Mohammed Siraj,800,Bowler/pace bowler,,85
Delhi Capitals,Khaleel Ahmed,320,Bowler/pace bowler,,82
Sunrisers Hyderabad,Mukesh Kumar,420,Bowler/pace bowler,,82
Kolkata Knight Riders,Urman Malik,200,Bowler/pace bowler,,81
Punjab Kings,Yuzvendra Chahal,850,Bowler/Spinner,,86
Delhi Capitals,Ashwin,850,Bowler/Spinner,,85
Chennai Super Kings,Adam Zampa,200,Bowler/Spinner,,82
Gujarat Titans,Varun Chakravarthy,750,Bowler/Spinner,,84
Kolkata Knight Riders,Rahul Chahar,240,Bowler/Spinner,,80
Kolkata Knight Riders,Axar Patel,700,All rounder/spinner,,86
Gujarat Titans,Shivam Dube,800,All rounder/finisher,,86
Punjab Kings,Andre Russell,700,All rounder/Finisher/Pace Bowler,,89
Royal Challengers Bangalore,Riyan Parag,440,All rounder/middle order,,84
Sunrisers Hyderabad,Mitchell Marsh,400,All rounder/middle order/pace bowler,,84
Royal Challengers Bangalore,Jason Holder,200,All rounder/pace bowler,,81
Sunrisers Hyderabad,Sam Curran,440,All rounder/pace bowler/middle order,,85
Kolkata Knight Riders,Krunal Pandya,200,All rounder/Spinner,,82
Chennai Super Kings,Jason Roy,200,Batter/Opener,,82
Punjab Kings,Dewald Brevis,120,Batter/Middle Order,,78
Punjab Kings,Ashutosh sharma,300,Batter/Finisher,,80
Rajasthan Royals,Wriddhiman Saha,120,Wicketkeeper/Opener,,79
Rajasthan Royals,Akash Deep,600,Bowler/pace bowler,,81
Royal Challengers Bangalore,Tushar Deshpande,340,Bowler/pace bowler,,81
Sunrisers Hyderabad,Jaydev Unadkat,240,Bowler/pace bowler,,80
Chennai Super Kings,Alzarri Joseph,100,Bowler/pace bowler,,79
Royal Challengers Bangalore,Akash Madhwal,120,Bowler/pace bowler,,79
Delhi Capitals,Nathan Ellis,100,Bowler/pace bowler,,79
Kolkata Knight Riders,Lungi Ngidi,100,Bowler/pace bowler,,79
Sunrisers Hyderabad,Shikhar Dhawan,200,Batter/Opener,,80
