,Unnamed: 0,List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),"2024
Team","2024
IPL",C/U/A,"Reserve Price Rs
Lakh",Player Name
28,28,29,5,WK1,Rahmanullah,Gurbaz,Afghanistan,,28/11/2001,23,WICKETKEEPER,RHB,,1.0,43.0,63.0,14.0,"GT, KKR",KKR,3.0,Capped,200,Rahmanullah Gurbaz
29,29,30,5,WK1,Ishan,Kishan,India,JSCA,18/07/1998,26,WICKETKEEPER,LHB,,2.0,27.0,32.0,104.0,"GL,MI",MI,14.0,Capped,200,Ishan Kishan
30,30,31,5,WK1,Phil,Salt,England,,28/08/1996,28,WICKETKEEPER,RHB,,,25.0,33.0,21.0,"DC,KKR",KKR,12.0,Capped,200,Phil Salt
31,31,32,5,WK1,Jitesh,Sharma,India,VCA,22/10/1993,31,WICKETKEEPER,RHB,,,,9.0,40.0,"MI,PBKS",PBKS,14.0,Capped,100,Jitesh Sharma
32,32,33,6,FA1,Syed Khaleel,Ahmed,India,RCA,05/12/1997,27,BOWLER,RHB,LEFT ARM Fast Medium,,11.0,18.0,57.0,"SRH,DC",DC,14.0,Capped,200,Syed Khaleel Ahmed
33,33,34,6,FA1,Trent,Boult,New Zealand,,22/07/1989,35,BOWLER,RHB,LEFT ARM Fast Medium,78.0,114.0,61.0,104.0,"SRH,DC,MI,RR",RR,16.0,Capped,200,Trent Boult
34,34,35,6,FA1,Josh,Hazlewood,Australia,,08/01/1991,34,BOWLER,LHB,RIGHT ARM Fast Medium,70.0,90.0,52.0,27.0,"CSK,RCB",,,Capped,200,Josh Hazlewood
35,35,36,6,FA1,Avesh,Khan,India,MPCA,13/12/1996,28,BOWLER,RHB,RIGHT ARM Fast,,8.0,23.0,63.0,"RCB,DC,LSG,RR",RR,16.0,Capped,200,Avesh Khan
36,36,37,6,FA1,Prasidh,Krishna,India,KSCA,19/02/1996,29,BOWLER,RHB,RIGHT ARM Fast,2.0,17.0,5.0,51.0,"KKR,RR",RR,0.0,Capped,200,Prasidh Krishna
37,37,38,6,FA1,T.,Natarajan,India,TNCA,27/05/1991,33,BOWLER,LHB,LEFT ARM Fast Medium,1.0,2.0,4.0,61.0,"PBKS,SRH",SRH,14.0,Capped,200,T. Natarajan
38,38,39,6,FA1,Anrich,Nortje,South Africa,,16/11/1993,31,BOWLER,RHB,RIGHT ARM Fast,19.0,22.0,42.0,46.0,DC,DC,6.0,Capped,200,Anrich Nortje
39,39,40,7,SP1,Noor,Ahmad,Afghanistan,,03/01/2005,20,BOWLER,RHB,LEFT ARM Slow Unorthodox,,10.0,14.0,23.0,GT,GT,10.0,Capped,200,Noor Ahmad
40,40,41,7,SP1,Rahul,Chahar,India,RCA,04/08/1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,1.0,6.0,78.0,"RPS,MI,PBKS",PBKS,9.0,Capped,100,Rahul Chahar
41,41,42,7,SP1,Wanindu,Hasaranga,Sri Lanka,,29/07/1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,4.0,58.0,74.0,26.0,"RCB,SRH",SRH,0.0,Capped,200,Wanindu Hasaranga
42,42,43,7,SP1,Waqar,Salamkheil,Afghanistan,,02/10/2001,23,BOWLER,RHB,LEFT ARM Slow Unorthodox,1.0,,,,,,,Capped,75,Waqar Salamkheil
43,43,44,7,SP1,Maheesh,Theekshana,Sri Lanka,,01/08/2000,24,BOWLER,RHB,RIGHT ARM Off Spin,2.0,43.0,55.0,27.0,CSK,CSK,5.0,Capped,200,Maheesh Theekshana
44,44,45,7,SP1,Adam,Zampa,Australia,,31/12/1992,32,BOWLER,RHB,RIGHT ARM Leg Spin,103.0,,92.0,20.0,"RPS,RCB,RR",RR,0.0,Capped,200,Adam Zampa
45,45,46,8,UBA1,Yash,Dhull,India,DDCA,11/11/2002,22,BATTER,RHB,,,,,4.0,DC,DC,0.0,Uncapped,30,Yash Dhull
46,46,47,8,UBA1,Abhinav,Manohar,India,KSCA,16/09/1994,30,BATTER,RHB,RIGHT ARM Leg Spin,,,,18.0,GT,GT,2.0,Uncapped,30,Abhinav Manohar
47,47,48,8,UBA1,Karun,Nair,India,VCA,06/12/1991,33,BATTER,RHB,RIGHT ARM Off Spin,,,,76.0,"RCB,RR,DD,PBKS,LSG",,,Uncapped,30,Karun Nair
48,48,49,8,UBA1,Angkrish,Raghuvanshi,India,MCA,05/06/2004,20,BATTER,RHB,RIGHT ARM Off Spin,,,,10.0,KKR,KKR,10.0,Uncapped,30,Angkrish Raghuvanshi
49,49,50,8,UBA1,Anmolpreet,Singh,India,PCA,28/03/1998,27,BATTER,RHB,RIGHT ARM Off Spin,,,,9.0,"MI,SRH",SRH,2.0,Uncapped,30,Anmolpreet Singh
50,50,51,8,UBA1,Atharva,Taide,India,VCA,26/04/2000,24,BATTER,LHB,LEFT ARM Slow Orthodox,,,,9.0,PBKS,PBKS,2.0,Uncapped,30,Atharva Taide
51,51,52,8,UBA1,Nehal,Wadhera,India,PCA,04/09/2000,24,BATTER,LHB,RIGHT ARM Leg Spin,,,,20.0,MI,MI,6.0,Uncapped,30,Nehal Wadhera
52,52,53,9,UAL1,Harpreet,Brar,India,PCA,16/09/1995,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,41.0,PBKS,PBKS,13.0,Uncapped,30,Harpreet Brar
53,53,54,9,UAL1,Naman,Dhir,India,PCA,31/12/1999,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,7.0,MI,MI,7.0,Uncapped,30,Naman Dhir
54,54,55,9,UAL1,Mahipal,Lomror,India,RCA,16/11/1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,40.0,"RR,RCB",RCB,10.0,Uncapped,50,Mahipal Lomror
55,55,56,9,UAL1,Sameer,Rizvi,India,UPCA,06/12/2003,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,9.0,CSK,CSK,9.0,Uncapped,30,Sameer Rizvi
56,56,57,9,UAL1,Abdul,Samad,India,JKCA,28/10/2001,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,50.0,SRH,SRH,16.0,Uncapped,30,Abdul Samad
57,57,58,9,UAL1,Vijay,Shankar,India,TNCA,26/01/1991,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,72.0,"CSK,DC,SRH,GT",GT,7.0,Uncapped,30,Vijay Shankar
58,58,59,9,UAL1,Ashutosh,Sharma,India,RSPB,15/09/1998,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,11.0,PBKS,PBKS,11.0,Uncapped,30,Ashutosh Sharma
59,64,65,10,UWK1,Anuj,Rawat,India,DDCA,17/10/1999,25,WICKETKEEPER,LHB,RIGHT ARM Leg Spin,,,,24.0,"RR,RCB",RCB,5.0,Uncapped,30,Anuj Rawat
60,66,67,10,UWK1,Vishnu,Vinod,India,KCA,02/12/1993,31,WICKETKEEPER,RHB,,,,,6.0,"RCB,DC,SRH,MI",MI,0.0,Uncapped,30,Vishnu Vinod
61,68,69,11,UFA1,Vaibhav,Arora,India,HPCA,14/12/1997,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,20.0,"PBKS,KKR",KKR,10.0,Uncapped,30,Vaibhav Arora
62,69,70,11,UFA1,Rasikh,Dar,India,JKCA,05/04/2000,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,11.0,"MI,,KKR,DC",DC,8.0,Uncapped,30,Rasikh Dar
63,70,71,11,UFA1,Akash,Madhwal,India,CAU,25/11/1993,31,BOWLER,RHB,RIGHT ARM Fast,,,,12.0,MI,MI,5.0,Uncapped,30,Akash Madhwal
64,71,72,11,UFA1,Mohit,Sharma,India,HCA,18/09/1988,36,BOWLER,RHB,RIGHT ARM Fast,,,,111.0,"CSK,PBKS,DC,GT",GT,12.0,Uncapped,50,Mohit Sharma
65,72,73,11,UFA1,Simarjeet,Singh,India,DDCA,17/01/1998,27,BOWLER,RHB,RIGHT ARM Fast,,,,10.0,CSK,CSK,4.0,Uncapped,30,Simarjeet Singh
66,73,74,11,UFA1,Yash,Thakur,India,VCA,28/12/1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,19.0,LSG,LSG,10.0,Uncapped,30,Yash Thakur
67,74,75,11,UFA1,Kartik,Tyagi,India,UPCA,08/11/2000,24,BOWLER,RHB,RIGHT ARM Fast,,,,20.0,"RR,SRH,GT",GT,1.0,Uncapped,40,Kartik Tyagi
68,75,76,11,UFA1,Vyshak,Vijaykumar,India,KSCA,31/01/1997,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,11.0,RCB,RCB,4.0,Uncapped,30,Vyshak Vijaykumar
69,76,77,12,USP1,Piyush,Chawla,India,UPCA,24/12/1988,36,BOWLER,LHB,RIGHT ARM Leg Spin,,,,192.0,"PBKS,KKR,CSK,MI",MI,11.0,Uncapped,50,Piyush Chawla
70,77,78,12,USP1,Shreyas,Gopal,India,KSCA,04/09/1993,31,BOWLER,RHB,RIGHT ARM Leg Spin,,,,52.0,"RR,SRH,MI",MI,3.0,Uncapped,30,Shreyas Gopal
71,78,79,12,USP1,Mayank,Markande,India,PCA,11/11/1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,,37.0,"MI,RR,SRH",SRH,7.0,Uncapped,30,Mayank Markande
72,79,80,12,USP1,Suyash,Sharma,India,DDCA,15/05/2003,21,BOWLER,RHB,RIGHT ARM Leg Spin,,,,13.0,KKR,KKR,2.0,Uncapped,30,Suyash Sharma
73,80,81,12,USP1,Karn,Sharma,India,RSPB,23/10/1987,37,BOWLER,LHB,RIGHT ARM Leg Spin,,,,84.0,"SRH,MI,CSK,RCB",RCB,9.0,Uncapped,50,Karn Sharma
74,81,82,12,USP1,Kumar Kartikeya,Singh,India,MPCA,26/12/1997,27,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,12.0,MI,MI,0.0,Uncapped,30,Kumar Kartikeya Singh
75,83,84,13,BA2,Mayank,Agarawal,India,KSCA,16/02/1991,34,BATTER,RHB,RIGHT ARM Off Spin,21.0,,5.0,127.0,"RCB,DC,RPS,PBKS,SRH",SRH,4.0,Capped,100,Mayank Agarawal
76,84,85,13,BA2,Faf,Du Plessis,South Africa,,13/07/1984,40,BATTER,RHB,,69.0,143.0,50.0,145.0,"CSK,RPS,RCB",RCB,15.0,Capped,200,Faf Du Plessis
77,85,86,13,BA2,Glenn,Phillips,New Zealand,,06/12/1996,28,BATTER,RHB,RIGHT ARM Off Spin,11.0,30.0,78.0,8.0,"RR,SRH",SRH,0.0,Capped,200,Glenn Phillips
78,86,87,13,BA2,Rovman,Powell,West Indies,,23/07/1993,31,BATTER,RHB,RIGHT ARM Fast Medium,,51.0,83.0,27.0,"KKR,DC,RR",RR,10.0,Capped,150,Rovman Powell
79,87,88,13,BA2,Ajinkya,Rahane,India,MCA,06/06/1988,36,BATTER,RHB,,85.0,90.0,20.0,185.0,"MI,RPS,RR,DC,KKR,SRH",CSK,13.0,Capped,150,Ajinkya Rahane
80,88,89,13,BA2,Prithvi,Shaw,India,MCA,09/11/1999,25,BATTER,RHB,,5.0,6.0,1.0,79.0,DC,DC,8.0,Capped,75,Prithvi Shaw
81,89,90,13,BA2,Kane,Williamson,New Zealand,,08/08/1990,34,BATTER,RHB,,102.0,165.0,93.0,79.0,"SRH,GT",GT,2.0,Capped,200,Kane Williamson
82,90,91,14,AL2,Sam,Curran,England,,03/06/1998,26,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,24.0,33.0,53.0,59.0,"CSK,PBKS",PBKS,13.0,Capped,200,Sam Curran
83,91,92,14,AL2,Marco,Jansen,South Africa,,01/05/2000,24,ALL-ROUNDER,RHB,LEFT ARM Fast,13.0,23.0,13.0,21.0,"MI,SRH",SRH,3.0,Capped,125,Marco Jansen
84,92,93,14,AL2,Daryl,Mitchell,New Zealand,,20/05/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,27.0,39.0,67.0,15.0,"RR,CSK",CSK,12.0,Capped,200,Daryl Mitchell
85,93,94,14,AL2,Krunal,Pandya,India,BCA,24/03/1991,34,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,5.0,9.0,127.0,"MI,LSG",LSG,14.0,Capped,200,Krunal Pandya
86,94,95,14,AL2,Nitish,Rana,India,UPCA,27/12/1993,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,1.0,2.0,107.0,"MI,KKR",KKR,2.0,Capped,150,Nitish Rana
87,95,96,14,AL2,Washington,Sundar,India,TNCA,05/10/1999,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,6.0,22.0,52.0,61.0,"RPS,RCB,SRH",SRH,2.0,Capped,200,Washington Sundar
88,96,97,14,AL2,Shardul,Thakur,India,MCA,16/10/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,11.0,47.0,25.0,95.0,"PBKS,RPS,DC,KKR,CSK",CSK,9.0,Capped,200,Shardul Thakur
89,97,98,15,WK2,K.S,Bharat,India,ACA,03/10/1993,31,WICKETKEEPER,RHB,,7.0,,,11.0,"RCB,DC,GT,KKR",KKR,0.0,Capped,75,K.S Bharat
90,98,99,15,WK2,Alex,Carey,Australia,,27/08/1991,33,WICKETKEEPER,LHB,,32.0,76.0,38.0,3.0,DC,,,Capped,100,Alex Carey
91,99,100,15,WK2,Donovan,Ferreira,South Africa,,21/07/1998,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,4.0,2.0,RR,RR,2.0,Capped,75,Donovan Ferreira
92,100,101,15,WK2,Shai,Hope,West Indies,,10/11/1993,31,WICKETKEEPER,RHB,,38.0,128.0,36.0,9.0,DC,DC,9.0,Capped,125,Shai Hope
93,101,102,15,WK2,Josh,Inglis,Australia,,04/03/1995,30,WICKETKEEPER,RHB,,,23.0,26.0,,,,,Capped,200,Josh Inglis
94,102,103,15,WK2,Ryan,Rickelton,South Africa,,11/07/1996,28,WICKETKEEPER,LHB,,7.0,5.0,8.0,,,,,Capped,100,Ryan Rickelton
95,103,104,16,FA2,Deepak,Chahar,India,RCA,07/08/1992,32,BOWLER,RHB,RIGHT ARM Fast Medium,,13.0,25.0,81.0,"RPS,CSK",CSK,8.0,Capped,200,Deepak Chahar
96,104,105,16,FA2,Gerald,Coetzee,South Africa,,02/10/2000,24,BOWLER,RHB,RIGHT ARM Fast,3.0,14.0,6.0,10.0,MI,Mi,10.0,Capped,125,Gerald Coetzee
97,105,106,16,FA2,Akash,Deep,India,CAB,15/12/1996,28,BOWLER,RHB,RIGHT ARM Fast,4.0,,,8.0,RCB,RCB,1.0,Capped,100,Akash Deep
98,106,107,16,FA2,Tushar,Deshpande,India,MCA,15/05/1995,29,BOWLER,LHB,RIGHT ARM Fast,,,2.0,36.0,"DC,CSK",CSK,13.0,Capped,100,Tushar Deshpande
99,107,108,16,FA2,Lockie,Ferguson,New Zealand,,13/06/1991,33,BOWLER,RHB,RIGHT ARM Fast,1.0,65.0,42.0,45.0,"RPS,GT,KKR,RCB",RCB,7.0,Capped,200,Lockie Ferguson
100,108,109,16,FA2,Bhuvneshwar,Kumar,India,UPCA,05/02/1990,35,BOWLER,RHB,RIGHT ARM Fast Medium,21.0,121.0,87.0,176.0,"PWI,SRH",SRH,16.0,Capped,200,Bhuvneshwar Kumar
101,109,110,16,FA2,Mukesh,Kumar,India,CAB,12/10/1993,31,BOWLER,RHB,RIGHT ARM Fast Medium,3.0,6.0,17.0,20.0,DC,DC,10.0,Capped,200,Mukesh Kumar
102,110,111,17,SP2,Allah,Ghazanfar,Afghanistan,,20/03/2006,19,BOWLER,RHB,RIGHT ARM Off Spin,,5.0,0.0,0.0,KKR,KKR,0.0,Capped,75,Allah Ghazanfar
103,111,112,17,SP2,Akeal,Hosein,West Indies,,25/04/1993,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,38.0,60.0,1.0,SRH,,,Capped,150,Akeal Hosein
104,112,113,17,SP2,Keshav,Maharaj,South Africa,,07/02/1990,35,BOWLER,RHB,LEFT ARM Slow Orthodox,54.0,44.0,35.0,2.0,RR,RR,2.0,Capped,75,Keshav Maharaj
105,113,114,17,SP2,Mujeeb Ur,Rahman,Afghanistan,,28/03/2001,24,BOWLER,RHB,RIGHT ARM Off Spin,1.0,75.0,46.0,19.0,"PBKS,SRH,KKR",,,Capped,200,Mujeeb Ur Rahman
106,114,115,17,SP2,Adil,Rashid,England,,17/02/1988,37,BOWLER,RHB,RIGHT ARM Leg Spin,19.0,141.0,116.0,3.0,"PBKS,SRH",,,Capped,200,Adil Rashid
107,115,116,17,SP2,Vijayakanth,Viyaskanth,Sri Lanka,,05/12/2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,1.0,3.0,SRH,SRH,3.0,Capped,75,Vijayakanth Viyaskanth
108,116,117,18,UBA2,Ricky,Bhui,India,ACA,29/09/1996,28,BATTER,RHB,,,,,4.0,"SRH,DC",DC,2.0,Uncapped,30,Ricky Bhui
109,119,120,18,UBA2,Shubham,Dubey,India,VCA,27/08/1994,30,BATTER,LHB,RIGHT ARM Off Spin,,,,4.0,RR,RR,0.0,Uncapped,30,Shubham Dubey
110,120,121,18,UBA2,Madhav,Kaushik,India,UPCA,03/01/1998,27,BATTER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Madhav Kaushik
111,121,122,18,UBA2,Pukhraj,Mann,India,PCA,07/06/2001,23,BATTER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30,Pukhraj Mann
112,124,125,19,UAL2,Mayank,Dagar,India,HPCA,11/11/1996,28,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,8.0,"PBKS,SRH,RCB",RCB,5.0,Uncapped,30,Mayank Dagar
113,125,126,19,UAL2,Anshul,Kamboj,India,HCA,06/12/2000,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,3.0,MI,MI,3.0,Uncapped,30,Anshul Kamboj
114,126,127,19,UAL2,Mohd. Arshad,Khan,India,MPCA,20/12/1997,27,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,10.0,"MI,LSG",LSG,4.0,Uncapped,30,Mohd. Arshad Khan
115,127,128,19,UAL2,Darshan,Nalkande,India,VCA,04/10/1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,5.0,"PBKS,GT",GT,3.0,Uncapped,30,Darshan Nalkande
116,128,129,19,UAL2,Suyash,Prabhudessai,India,GCA,06/12/1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,1.0,RCB,RCB,11.0,Uncapped,30,Suyash Prabhudessai
117,129,130,19,UAL2,Anukul,Roy,India,JSCA,30/11/1998,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,11.0,"MI,KKR",KKR,4.0,Uncapped,30,Anukul Roy
118,130,131,19,UAL2,Swapnil,Singh,India,CAU,22/01/1991,34,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,14.0,"PBKS,LSG,RCB",PBKS,7.0,Uncapped,30,Swapnil Singh
119,131,132,19,UAL2,Sanvir,Singh,India,PCA,12/10/1996,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,6.0,SRH,SRH,4.0,Uncapped,30,Sanvir Singh
120,133,134,20,UWK2,Vansh,Bedi,India,DDCA,23/12/2002,22,WICKETKEEPER,RHB,,,,,,,,,Uncapped,30,Vansh Bedi
121,134,135,20,UWK2,Saurav,Chauhan,India,GUCA,27/05/2000,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,3.0,RCB,RCB,3.0,Uncapped,30,Saurav Chauhan
122,136,137,20,UWK2,Tom,Kohler-Cadmore,England,,19/08/1994,30,WICKETKEEPER,RHB,,,,,4.0,RR,RR,4.0,Uncapped,50,Tom Kohler-Cadmore
123,138,139,20,UWK2,B.R,Sharath,India,KSCA,28/09/1996,28,WICKETKEEPER,RHB,,,,,1.0,GT,GT,1.0,Uncapped,30,B.R Sharath
124,139,140,21,UFA2,Gurnoor Singh,Brar,India,PCA,25/05/2000,24,BOWLER,LHB,RIGHT ARM Fast,,,,1.0,"PBKS,GT",GT,0.0,Uncapped,30,Gurnoor Singh Brar
125,140,141,21,UFA2,Mukesh,Choudhary,India,MACA,06/07/1996,28,BOWLER,LHB,LEFT ARM Fast,,,,14.0,CSK,CSK,1.0,Uncapped,30,Mukesh Choudhary
126,142,143,21,UFA2,Vidwath,Kaverappa,India,KSCA,25/02/1999,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,1.0,PBKS,PBKS,1.0,Uncapped,30,Vidwath Kaverappa
127,145,146,21,UFA2,Arjun,Tendulkar,India,GCA,24/09/1999,25,BOWLER,LHB,LEFT ARM Fast Medium,,,,5.0,MI,MI,1.0,Uncapped,30,Arjun Tendulkar
128,146,147,22,USP2,Zeeshan,Ansari,India,UPCA,16/12/1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30,Zeeshan Ansari
129,148,149,22,USP2,Himanshu,Sharma,India,RCA,06/06/1998,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,,1.0,RCB,RCB,1.0,Uncapped,30,Himanshu Sharma
130,149,150,22,USP2,M.,Siddharth,India,TNCA,03/07/1998,26,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,3.0,"KKR,DC,LSG",LSG,3.0,Uncapped,30,M. Siddharth
